GeneId	BiologicalProcess	CellularComponent	MolecularFunction
Ss11g09210.1	GO:0006629(lipid metabolic process)	-	-
Ss11g09270.1	-	-	GO:0005515(protein binding)
Ss06g19160.1	-	-	GO:0016787(hydrolase activity),GO:0003993(acid phosphatase activity),GO:0046872(metal ion binding)
Ss06g19150.1	GO:0005985(sucrose metabolic process)	-	GO:0016157(sucrose synthase activity),GO:0046524(sucrose-phosphate synthase activity)
Ss07g31060.1	GO:0055085(transmembrane transport)	GO:0016021(integral component of membrane)	GO:0022857(transmembrane transporter activity)
Ss01g04290.1	-	-	GO:0005515(protein binding)
Ss07g31080.1	-	-	GO:0003824(catalytic activity),GO:0030170(pyridoxal phosphate binding)
Ss11g07260.1	-	-	GO:0016788(hydrolase activity, acting on ester bonds)
Ss07g31020.1	GO:0055085(transmembrane transport)	GO:0016021(integral component of membrane)	GO:0022857(transmembrane transporter activity)
Ss08g12880.1	-	-	GO:0005525(GTP binding)
Ss07g31040.1	GO:0055085(transmembrane transport)	GO:0016021(integral component of membrane)	GO:0022857(transmembrane transporter activity)
Ss03g31550.1	-	-	GO:0016746(transferase activity, transferring acyl groups)
Ss05g16570.1	GO:0015979(photosynthesis),GO:0050821(protein stabilization)	GO:0009523(photosystem II),GO:0016020(membrane)	GO:0042301(phosphate ion binding)
Ss01g30410.1	GO:0006508(proteolysis)	-	GO:0004185(serine-type carboxypeptidase activity)
Ss06g23400.1	-	-	GO:0016866(intramolecular transferase activity)
Ss01g43850.1	-	-	GO:0005515(protein binding)
Ss01g30420.1	GO:0006412(translation)	GO:0005622(intracellular),GO:0005840(ribosome)	GO:0003723(RNA binding),GO:0003735(structural constituent of ribosome)
Ss06g23340.1	GO:0006508(proteolysis)	-	GO:0008234(cysteine-type peptidase activity)
Ss03g20480.1	GO:0006508(proteolysis)	-	GO:0004185(serine-type carboxypeptidase activity)
Ss06g23330.1	-	-	GO:0005515(protein binding)
Ss03g20490.1	GO:0006508(proteolysis)	-	GO:0004185(serine-type carboxypeptidase activity)
Ss06g23360.1	-	-	GO:0016866(intramolecular transferase activity)
Ss06g23370.1	GO:0015991(ATP hydrolysis coupled proton transport)	GO:0033178(proton-transporting two-sector ATPase complex, catalytic domain)	GO:0046961(proton-transporting ATPase activity, rotational mechanism)
Ss01g10910.1	GO:0055085(transmembrane transport)	GO:0016021(integral component of membrane)	-
Ss01g12300.1	GO:0055114(oxidation-reduction process)	-	GO:0004097(catechol oxidase activity),GO:0016491(oxidoreductase activity)
Ss01g12290.1	-	-	GO:0005515(protein binding)
Ss01g30450.1	-	-	GO:0004842(ubiquitin-protein transferase activity)
Ss02g16240.1	GO:0006298(mismatch repair)	-	GO:0005524(ATP binding),GO:0030983(mismatched DNA binding)
Ss01g12280.1	GO:0055114(oxidation-reduction process)	-	GO:0004097(catechol oxidase activity)
Ss02g12710.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003700(DNA-binding transcription factor activity),GO:0003677(DNA binding)
Ss06g13570.1	-	-	GO:0003676(nucleic acid binding)
Ss05g01550.1	GO:0006468(protein phosphorylation)	-	GO:0004707(MAP kinase activity),GO:0005524(ATP binding),GO:0004672(protein kinase activity)
Ss05g01560.1	GO:0008299(isoprenoid biosynthetic process),GO:0015979(photosynthesis)	-	GO:0016765(transferase activity, transferring alkyl or aryl (other than methyl) groups)
Ss02g27320.1	GO:0022904(respiratory electron transport chain)	GO:0016020(membrane)	GO:0009055(electron transfer activity),GO:0016491(oxidoreductase activity)
Ss02g27330.1	-	-	GO:0046872(metal ion binding)
Ss05g01490.1	-	-	GO:0005515(protein binding)
Ss05g01500.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003700(DNA-binding transcription factor activity),GO:0043565(sequence-specific DNA binding)
Ss02g27300.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding),GO:0005515(protein binding)
Ss05g06140.1	GO:0006468(protein phosphorylation)	-	GO:0004674(protein serine/threonine kinase activity),GO:0005524(ATP binding),GO:0004672(protein kinase activity)
Ss05g01530.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003700(DNA-binding transcription factor activity),GO:0043565(sequence-specific DNA binding),GO:0016791(phosphatase activity)
Ss05g06120.1	GO:0006508(proteolysis)	-	GO:0004190(aspartic-type endopeptidase activity)
Ss03g36370.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003677(DNA binding)
Ss02g15060.1	-	-	GO:0016747(transferase activity, transferring acyl groups other than amino-acyl groups)
Ss07g30020.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding),GO:0005515(protein binding)
Ss07g14800.1	-	-	GO:0005515(protein binding)
Ss08g03620.1	-	-	GO:0005515(protein binding)
Ss08g03630.1	-	-	GO:0003676(nucleic acid binding)
Ss01g17690.1	-	-	GO:0046983(protein dimerization activity)
Ss01g17680.1	GO:0006334(nucleosome assembly)	GO:0000786(nucleosome),GO:0005634(nucleus)	GO:0003677(DNA binding)
Ss08g03540.1	GO:0046856(phosphatidylinositol dephosphorylation)	-	GO:0005515(protein binding)
Ss08g03550.1	-	GO:0016020(membrane)	GO:0008137(NADH dehydrogenase (ubiquinone) activity),GO:0009055(electron transfer activity)
Ss08g03560.1	-	-	GO:0005515(protein binding)
Ss08g03570.1	-	-	GO:0005515(protein binding)
Ss08g03580.1	-	-	GO:0005515(protein binding)
Ss08g03590.1	-	-	GO:0005515(protein binding)
Ss01g17630.1	-	-	GO:0005515(protein binding)
Ss08g03610.1	GO:0070588(calcium ion transmembrane transport)	GO:0016021(integral component of membrane),GO:0016020(membrane)	GO:0000166(nucleotide binding),GO:0005388(calcium-transporting ATPase activity),GO:0005524(ATP binding),GO:0005516(calmodulin binding)
Ss04g01030.1	-	-	GO:0005515(protein binding),GO:0008270(zinc ion binding)
Ss04g01020.1	-	-	GO:0003676(nucleic acid binding)
Ss04g01010.1	-	-	GO:0003755(peptidyl-prolyl cis-trans isomerase activity)
Ss10g08530.1	GO:0006412(translation)	-	-
Ss04g01070.1	GO:0008033(tRNA processing),GO:0055114(oxidation-reduction process)	-	GO:0003824(catalytic activity),GO:0046872(metal ion binding),GO:0017150(tRNA dihydrouridine synthase activity),GO:0050660(flavin adenine dinucleotide binding)
Ss10g08600.1	GO:0015979(photosynthesis)	GO:0009522(photosystem I),GO:0009579(thylakoid),GO:0016021(integral component of membrane)	-
Ss02g24450.1	-	-	GO:0005515(protein binding)
Ss11g10020.1	GO:0009058(biosynthetic process)	GO:0005737(cytoplasm)	GO:0008676(3-deoxy-8-phosphooctulonate synthase activity),GO:0003824(catalytic activity)
Ss08g08400.1	GO:0006096(glycolytic process),GO:0006002(fructose 6-phosphate metabolic process)	-	GO:0003872(6-phosphofructokinase activity),GO:0005524(ATP binding)
Ss11g10060.1	GO:0006508(proteolysis)	-	GO:0005515(protein binding),GO:0004252(serine-type endopeptidase activity)
Ss11g10070.1	-	-	GO:0005515(protein binding)
Ss02g24430.1	-	-	GO:0016788(hydrolase activity, acting on ester bonds)
Ss09g03850.1	-	GO:0016020(membrane)	GO:0016772(transferase activity, transferring phosphorus-containing groups),GO:0004605(phosphatidate cytidylyltransferase activity)
Ss09g03830.1	GO:0006099(tricarboxylic acid cycle),GO:0015977(carbon fixation)	-	GO:0008964(phosphoenolpyruvate carboxylase activity),GO:0003824(catalytic activity)
Ss01g16880.1	-	-	GO:0016791(phosphatase activity)
Ss09g03870.1	-	-	GO:0043565(sequence-specific DNA binding),GO:0003677(DNA binding)
Ss09g03910.1	GO:0055085(transmembrane transport)	GO:0016020(membrane)	GO:0022857(transmembrane transporter activity)
Ss03g30850.1	GO:0032957(inositol trisphosphate metabolic process)	GO:0005622(intracellular)	GO:0000287(magnesium ion binding),GO:0005524(ATP binding),GO:0047325(inositol tetrakisphosphate 1-kinase activity),GO:0052725(inositol-1,3,4-trisphosphate 6-kinase activity),GO:0052726(inositol-1,3,4-trisphosphate 5-kinase activity)
Ss07g28290.1	GO:0048268(clathrin coat assembly)	GO:0030136(clathrin-coated vesicle)	GO:0005543(phospholipid binding),GO:0005545(1-phosphatidylinositol binding),GO:0030276(clathrin binding)
Ss07g28250.1	GO:0016925(protein sumoylation)	-	GO:0016881(acid-amino acid ligase activity),GO:0008641(ubiquitin-like modifier activating enzyme activity),GO:0019948(SUMO activating enzyme activity)
Ss07g28240.1	-	-	GO:0016788(hydrolase activity, acting on ester bonds)
Ss02g24440.1	-	-	GO:0005509(calcium ion binding)
Ss07g28300.1	GO:0006281(DNA repair),GO:0006284(base-excision repair)	-	GO:0003824(catalytic activity),GO:0008725(DNA-3-methyladenine glycosylase activity)
Ss03g11090.1	-	-	GO:0005515(protein binding)
Ss08g09270.1	GO:0006812(cation transport),GO:0055085(transmembrane transport)	GO:0016021(integral component of membrane)	GO:0008324(cation transmembrane transporter activity)
Ss08g09290.1	-	-	GO:0003682(chromatin binding)
Ss08g09260.1	GO:0055114(oxidation-reduction process)	-	GO:0016491(oxidoreductase activity),GO:0016620(oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor)
Ss07g06670.1	-	-	GO:0016787(hydrolase activity)
Ss03g18770.1	GO:0000278(mitotic cell cycle),GO:0030261(chromosome condensation)	GO:0005634(nucleus)	-
Ss02g26580.1	-	-	GO:0003729(mRNA binding),GO:0003676(nucleic acid binding)
Ss02g26610.1	-	-	GO:0008270(zinc ion binding)
Ss06g16360.1	-	-	GO:0030570(pectate lyase activity)
Ss02g26590.1	-	-	GO:0005509(calcium ion binding)
Ss02g26600.1	GO:0015914(phospholipid transport)	GO:0016021(integral component of membrane)	GO:0000166(nucleotide binding),GO:0000287(magnesium ion binding),GO:0004012(phospholipid-translocating ATPase activity),GO:0005524(ATP binding)
Ss06g16320.1	GO:0016575(histone deacetylation)	-	GO:0004407(histone deacetylase activity)
Ss02g26640.1	GO:0019432(triglyceride biosynthetic process)	-	GO:0004144(diacylglycerol O-acyltransferase activity),GO:0008374(O-acyltransferase activity)
Ss06g16300.1	GO:0055085(transmembrane transport)	GO:0016020(membrane)	GO:0022857(transmembrane transporter activity)
Ss01g22240.1	GO:0045454(cell redox homeostasis)	-	GO:0009055(electron transfer activity),GO:0015035(protein disulfide oxidoreductase activity)
Ss07g29990.1	GO:0006412(translation)	GO:0005622(intracellular),GO:0005840(ribosome),GO:0015935(small ribosomal subunit)	GO:0003735(structural constituent of ribosome)
Ss01g22190.1	GO:0055114(oxidation-reduction process)	-	GO:0005506(iron ion binding),GO:0016705(oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen),GO:0020037(heme binding)
Ss01g22200.1	GO:0055114(oxidation-reduction process)	-	GO:0005506(iron ion binding),GO:0016705(oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen),GO:0020037(heme binding)
Ss03g06140.1	-	-	GO:0005515(protein binding)
Ss01g22220.1	GO:0055114(oxidation-reduction process)	-	GO:0005506(iron ion binding),GO:0016705(oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen),GO:0020037(heme binding)
Ss01g22150.1	GO:0055114(oxidation-reduction process)	-	GO:0005506(iron ion binding),GO:0016705(oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen),GO:0020037(heme binding)
Ss03g06130.1	-	-	GO:0005515(protein binding)
Ss01g22170.1	GO:0055114(oxidation-reduction process)	-	GO:0005506(iron ion binding),GO:0016705(oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen),GO:0020037(heme binding)
Ss01g22180.1	GO:0055114(oxidation-reduction process)	-	GO:0005506(iron ion binding),GO:0016705(oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen),GO:0020037(heme binding)
Ss01g30430.1	GO:0055114(oxidation-reduction process)	-	GO:0016491(oxidoreductase activity)
Ss03g10440.1	GO:0055114(oxidation-reduction process)	GO:0016020(membrane)	GO:0016628(oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor)
Ss03g10490.1	GO:0006886(intracellular protein transport)	-	GO:0008536(Ran GTPase binding)
Ss06g12190.1	-	-	GO:0005525(GTP binding)
Ss03g10480.1	GO:0046488(phosphatidylinositol metabolic process)	-	GO:0016307(phosphatidylinositol phosphate kinase activity)
Ss07g32060.1	-	-	GO:0016757(transferase activity, transferring glycosyl groups)
Ss01g41940.1	GO:0005975(carbohydrate metabolic process)	-	GO:0016798(hydrolase activity, acting on glycosyl bonds),GO:0004553(hydrolase activity, hydrolyzing O-glycosyl compounds)
Ss03g04700.1	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
Ss03g32430.1	GO:0030001(metal ion transport)	-	GO:0046872(metal ion binding)
Ss06g16710.1	-	-	GO:0003860(3-hydroxyisobutyryl-CoA hydrolase activity)
Ss07g15630.1	GO:0055085(transmembrane transport)	GO:0016020(membrane)	GO:0022857(transmembrane transporter activity)
Ss03g18780.1	-	-	GO:0016787(hydrolase activity)
Ss01g06620.1	-	-	GO:0003723(RNA binding),GO:0003676(nucleic acid binding)
Ss06g12200.1	GO:0006508(proteolysis)	-	GO:0008234(cysteine-type peptidase activity)
Ss02g12720.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003700(DNA-binding transcription factor activity),GO:0003677(DNA binding)
Ss06g02040.1	-	-	GO:0043531(ADP binding)
Ss06g02050.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003700(DNA-binding transcription factor activity),GO:0003677(DNA binding)
Ss06g02070.1	GO:0016559(peroxisome fission)	GO:0005779(integral component of peroxisomal membrane)	-
Ss06g02080.1	-	-	GO:0005515(protein binding),GO:0051087(chaperone binding)
Ss01g34740.1	-	-	GO:0003676(nucleic acid binding)
Ss06g02100.1	GO:0006468(protein phosphorylation)	-	GO:0005524(ATP binding),GO:0004672(protein kinase activity)
Ss08g12720.1	-	GO:0016021(integral component of membrane)	-
Ss03g26350.1	-	GO:0016020(membrane)	GO:0005524(ATP binding),GO:0016887(ATPase activity)
Ss05g07990.1	GO:0006164(purine nucleotide biosynthetic process),GO:0006177(GMP biosynthetic process)	-	GO:0003922(GMP synthase (glutamine-hydrolyzing) activity),GO:0005524(ATP binding),GO:0016462(pyrophosphatase activity)
Ss08g18930.1	GO:0006139(nucleobase-containing compound metabolic process)	-	GO:0004017(adenylate kinase activity),GO:0005524(ATP binding),GO:0019205(nucleobase-containing compound kinase activity),GO:0016776(phosphotransferase activity, phosphate group as acceptor)
Ss05g08010.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003700(DNA-binding transcription factor activity),GO:0043565(sequence-specific DNA binding)
Ss08g18910.1	-	-	GO:0005515(protein binding)
Ss08g18900.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss03g13690.1	-	GO:0016020(membrane)	GO:0008375(acetylglucosaminyltransferase activity)
Ss08g18960.1	GO:0006886(intracellular protein transport)	GO:0005622(intracellular)	-
Ss08g18950.1	-	-	GO:0042578(phosphoric ester hydrolase activity)
Ss05g08000.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003700(DNA-binding transcription factor activity),GO:0043565(sequence-specific DNA binding)
Ss08g18980.1	GO:0120009(intermembrane lipid transfer)	GO:0005737(cytoplasm)	GO:0120013(intermembrane lipid transfer activity)
Ss01g34770.1	GO:0006412(translation)	GO:0005622(intracellular),GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
Ss02g21280.1	GO:0055114(oxidation-reduction process)	-	GO:0005506(iron ion binding),GO:0016705(oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen),GO:0020037(heme binding)
Ss02g23920.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss04g25090.1	GO:0005975(carbohydrate metabolic process)	-	GO:0004553(hydrolase activity, hydrolyzing O-glycosyl compounds)
Ss04g22410.1	GO:0007205(protein kinase C-activating G-protein coupled receptor signaling pathway)	-	GO:0016301(kinase activity),GO:0004143(diacylglycerol kinase activity),GO:0003951(NAD+ kinase activity)
Ss04g22420.1	-	-	GO:0008270(zinc ion binding)
Ss04g22430.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss04g25050.1	-	-	GO:0005509(calcium ion binding)
Ss04g22450.1	GO:0048544(recognition of pollen)	-	-
Ss04g25030.1	GO:0006952(defense response)	GO:0016021(integral component of membrane)	-
Ss04g22480.1	-	-	GO:0046983(protein dimerization activity)
Ss02g18920.1	GO:0006396(RNA processing)	GO:0000178(exosome (RNase complex))	-
Ss08g11830.1	GO:0016575(histone deacetylation)	-	GO:0004407(histone deacetylase activity)
Ss06g13340.1	-	-	GO:0005515(protein binding)
Ss04g07570.1	GO:0006281(DNA repair)	-	GO:0003677(DNA binding),GO:0004518(nuclease activity),GO:0016788(hydrolase activity, acting on ester bonds),GO:0003824(catalytic activity)
Ss04g07550.1	GO:0006506(GPI anchor biosynthetic process)	GO:0000506(glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex)	GO:0017176(phosphatidylinositol N-acetylglucosaminyltransferase activity)
Ss04g07540.1	-	-	GO:0005515(protein binding)
Ss11g07130.1	GO:0009415(response to water)	-	-
Ss11g07140.1	GO:0055114(oxidation-reduction process)	-	GO:0016651(oxidoreductase activity, acting on NAD(P)H),GO:0048038(quinone binding),GO:0051287(NAD binding)
Ss11g07150.1	GO:0006351(transcription, DNA-templated)	-	GO:0003677(DNA binding),GO:0003899(DNA-directed 5'-3' RNA polymerase activity)
Ss06g13800.1	GO:0006508(proteolysis)	-	GO:0008234(cysteine-type peptidase activity)
